0,1,2,3,4,5,6,7,8,9,10
0.8,1.3562,-1.151,1.2492,-75.26,50.585,35.862,126.94,14.392,-3.9846,1.0532
0.808,1.3367,-1.1204,1.2688,-74.546,50.378,35.143,126.77,14.297,-4.0738,1.1829
0.817,1.3123,-1.0931,1.2909,-73.747,50.126,34.383,126.58,14.193,-4.1631,1.2997
0.825,1.2838,-1.0699,1.3131,-72.853,49.824,33.581,126.36,14.096,-4.2536,1.3991
0.833,1.2521,-1.0541,1.3338,-71.861,49.472,32.732,126.13,14.02,-4.3445,1.4786
0.842,1.2182,-1.0515,1.3519,-70.769,49.07,31.833,125.86,13.971,-4.4337,1.5382
0.85,1.1837,-1.0685,1.3669,-69.578,48.621,30.88,125.55,13.95,-4.5187,1.5819
0.858,1.15,-1.1098,1.3779,-68.288,48.127,29.871,125.19,13.954,-4.599,1.6149
0.867,1.1188,-1.1764,1.3835,-66.895,47.588,28.801,124.77,13.967,-4.6759,1.6391
0.875,1.0912,-1.2663,1.382,-65.385,47.007,27.665,124.3,13.968,-4.7508,1.6531
