41,0.333,1131.7,217.4,828.99,1428.1,211.42,802.23,1203.3,208.91,1051.7,1409.7,211.41,1053.4,1264.1,370.49,1105,1362.5,416.26,1025.9,1249.2,507.22,772.07,1190.4,568.08,829.56,974.62,432.38,792.89,1021.2,346.14,783.84,913.52,349.48,812.11
42,0.342,1132.1,217.42,829.01,1428.5,211.44,802,1203.7,208.72,1051.7,1410.2,211.33,1053.1,1264.6,370.52,1105,1363.3,415.94,1026,1254.6,507.86,772.05,1194.8,568.68,828.95,980.08,432.15,792.95,1026.8,345.96,784.19,919.21,349.19,812.43
43,0.35,1132.5,217.46,829.05,1428.8,211.46,801.79,1203.9,208.53,1051.7,1410.6,211.27,1052.9,1265,370.53,1104.9,1364.1,415.62,1026.2,1259.8,508.47,772.1,1199.1,569.29,828.45,985.49,431.9,793.22,1032.4,345.78,784.75,924.85,348.9,812.95
44,0.358,1132.8,217.51,829.11,1429.1,211.49,801.62,1204.2,208.35,1051.6,1411,211.21,1052.7,1265.3,370.52,1104.9,1364.7,415.3,1026.4,1265,509.04,772.22,1203.4,569.9,828.04,990.85,431.63,793.7,1038,345.61,785.5,930.43,348.6,813.64
45,0.367,1133.1,217.54,829.17,1429.4,211.51,801.48,1204.4,208.17,1051.6,1411.3,211.18,1052.6,1265.5,370.52,1104.9,1365.3,415,1026.6,1270,509.53,772.38,1207.8,570.52,827.72,996.17,431.36,794.36,1043.5,345.44,786.41,935.94,348.3,814.49
46,0.375,1133.3,217.55,829.22,1429.6,211.54,801.38,1204.5,207.99,1051.7,1411.5,211.16,1052.5,1265.5,370.51,1104.9,1365.9,414.73,1026.9,1274.9,509.94,772.59,1212.2,571.15,827.48,1001.4,431.09,795.16,1049,345.3,787.46,941.4,347.98,815.45
47,0.383,1133.5,217.53,829.27,1429.8,211.57,801.33,1204.6,207.81,1051.7,1411.7,211.16,1052.5,1265.5,370.52,1104.9,1366.4,414.48,1027.2,1279.7,510.26,772.85,1216.6,571.81,827.33,1006.7,430.84,796.08,1054.5,345.2,788.6,946.79,347.67,816.47
48,0.392,1133.7,217.47,829.3,1430.1,211.61,801.32,1204.7,207.65,1051.8,1411.9,211.17,1052.6,1265.5,370.54,1104.9,1367,414.27,1027.5,1284.5,510.52,773.17,1221,572.48,827.27,1011.8,430.6,797.06,1060,345.13,789.78,952.13,347.37,817.51
49,0.4,1133.9,217.38,829.32,1430.2,211.64,801.36,1204.8,207.5,1051.8,1412,211.19,1052.6,1265.4,370.58,1104.9,1367.6,414.09,1027.9,1289.2,510.73,773.57,1225.5,573.18,827.31,1017,430.41,798.05,1065.4,345.1,790.99,957.42,347.08,818.52
50,0.408,1134.1,217.27,829.33,1430.4,211.66,801.43,1204.9,207.38,1051.9,1412,211.22,1052.8,1265.3,370.64,1104.9,1368.3,413.94,1028.4,1293.9,510.94,774.07,1230,573.9,827.43,1022.1,430.25,799.01,1070.9,345.11,792.18,962.69,346.83,819.45
